WikidataID	label_en	P1545_ciic	P1545_ucc	P195_2	P248_C2
Q69377850	CIIC 103	103	1	Q69379477	Q70383873
Q69383434	CIIC 115	115	2	Q69379477	Q70383873
Q69385241	CIIC 117	117	3	Q69379477	Q70383873
Q69385424	CIIC 81	81	4	Q69379477	Q70383873
Q70382440	CIIC 113	113	5	Q69379477	Q70383873
Q70382438	CIIC 116	116	6	Q69379477	Q70383873
Q70885690	CIIC 89	89	7	Q69379477	Q70383873
Q70885692	CIIC 93	93	8	Q69379477	Q70383873
Q70885695	CIIC 85	85	9	Q69379477	Q70383873
Q70885697	CIIC 96	96	10	Q69379477	Q70383873
Q70885698	CIIC 87	87	11	Q69379477	Q70383873
Q70885701	CIIC 262	262	12	Q69379477	Q70383873
Q70885703	CIIC 95	95	13	Q69379477	Q70383873
Q70885704	CIIC 83	83	14	Q69379477	Q70383873
Q70885706	CIIC 94	94	15	Q69379477	Q70383873
Q70885712	CIIC 90	90	16	Q69379477	Q70383873
Q70885713	CIIC 92	92	17	Q69379477	Q70383873
Q70885716	CIIC 86	86	18	Q69379477	Q70383873
Q70885720	CIIC 88	88	19	Q69379477	Q70383873
Q70885722	CIIC 127	127	20	Q69379477	Q70383873
Q70885723	CIIC 63	63	21	Q69379477	Q70383873
Q70885727	CIIC 107	107	22	Q69379477	Q70383873
Q70885728	CIIC 105	105	23	Q69379477	Q70383873
Q70885730	CIIC 61	61	24	Q69379477	Q70383873
Q70885734	CIIC 128	128	25	Q69379477	Q70383873
Q70885736	CIIC 114	114	26	Q69379477	Q70383873
Q70885739	CIIC 112	112	27	Q69379477	Q70383873
